OrderID,Date,Region,Product,Category,Salesperson,Units,Revenue,Discount,Payment_Method
ORD-1106,2023-01-13,Central,Cable Pack,Accessories,Diana,60,7963.33,0.18,PayPal
ORD-1038,2023-01-15,East,Air Purifier,Home,,90,1449.05,0.08,Cash
ORD-1092,2023-01-17,South,Mechanical Keyboard,Office,Hannah,44,101323.34,0.0,Wire Transfer
ORD-1185,2023-01-20,West,Desk Lamp,Home,Evan,57,7725.98,0.0,Cash
ORD-1196,2023-02-04,Central,Smart Bulb,Home,Evan,6,1427.71,0.0,Cash
ORD-1042,2023-02-05,South,Ergo Mouse,Office,Bob,13,370.18,0.0,Credit Card
ORD-1149,2023-02-05,North,Smart Plug,Home,Bob,82,5740.32,0.0,Credit Card
ORD-1088,2023-02-07,Central,Desk Mat,Office,Fiona,51,11428.65,0.0,Wire Transfer
ORD-1069,2023-02-08,East,Widget B,Electronics,Bob,82,17306.13,0.0,PayPal
ORD-1030,2023-02-10,North,Laptop Pro,Electronics,George,28,49348.71,0.0,PayPal
ORD-1193,2023-02-10,North,Desk Lamp,Home,Diana,64,7601.78,0.0,Cash
ORD-1046,2023-02-13,South,Mechanical Keyboard,Office,Hannah,84,18833.99,0.0,Cash
ORD-1044,2023-02-14,West,Ergo Mouse,Office,George,62,10045.05,0.0,Credit Card
ORD-1117,2023-02-16,East,Bluetooth Earbuds,Accessories,Alice,99,16135.33,0.0,Credit Card
ORD-1111,2023-02-20,South,Widget B,Electronics,Evan,25,1180.25,0.0,Cash
ORD-1040,2023-02-21,East,Air Purifier,Home,Fiona,96,16984.69,0.08,Cash
ORD-1060,2023-02-22,Central,Desk Lamp,Home,Diana,44,40131.34,0.0,PayPal
ORD-1114,2023-02-23,West,Widget A,Electronics,Bob,60,48473.06,0.0,PayPal
ORD-1077,2023-02-23,North,Mechanical Keyboard,Office,George,33,5414.89,0.0,Wire Transfer
ORD-1115,2023-03-01,Central,Smart Bulb,Home,George,5,598.72,0.0,Credit Card
ORD-1039,2023-03-04,Central,Wireless Charger,Accessories,George,96,15622.9,0.0,Wire Transfer
ORD-1078,2023-03-16,West,Gadget X,Electronics,Bob,72,14290.69,0.0,Cash
ORD-1165,2023-03-17,Central,Widget A,Electronics,Charlie,9,1734.86,0.0,PayPal
ORD-1003,2023-03-29,East,Smart Bulb,Home,Hannah,24,3989.12,0.0,Wire Transfer
ORD-1013,2023-03-30,Central,Smartphone Z,Electronics,Fiona,60,8711.35,0.0,Wire Transfer
ORD-1143,2023-04-03,,Smart Bulb,Home,George,26,4513.27,0.14,Credit Card
ORD-1124,2023-04-06,South,Smart Bulb,Home,George,48,25020.52,0.21,Credit Card
ORD-1150,2023-04-06,South,Monitor Stand,Office,,24,40878.67,0.0,Cash
ORD-1033,2023-04-09,South,Gadget Y,Electronics,George,44,7172.61,0.0,PayPal
ORD-1096,2023-04-09,South,Laptop Pro,Electronics,Alice,60,12883.34,0.0,PayPal
ORD-1159,2023-04-09,South,Monitor Stand,Office,Bob,12,1066.55,0.0,Wire Transfer
ORD-1155,2023-04-10,South,Mechanical Keyboard,Office,Hannah,-9,-1545.49,0.0,Wire Transfer
ORD-1035,2023-04-11,North,Desk Mat,Office,Hannah,47,8515.4,0.0,Wire Transfer
ORD-1139,2023-04-11,East,Bluetooth Earbuds,Accessories,Evan,12,1231.98,0.29,PayPal
ORD-1000,2023-04-13,North,Laptop Pro,Electronics,Evan,52,12384.91,0.23,Credit Card
ORD-1079,2023-04-14,North,Monitor Stand,Office,Alice,84,12546.64,0.0,Cash
ORD-1018,2023-04-16,Central,Ergo Mouse,Office,Hannah,4,217.46,0.29,Cash
ORD-1162,2023-04-19,North,Phone Case,Accessories,Diana,53,36057.6,0.0,Wire Transfer
ORD-1080,2023-04-22,Central,Wireless Charger,Accessories,Hannah,89,15062.4,0.05,PayPal
ORD-1144,2023-04-25,North,Smart Plug,Home,Charlie,-9,-960.9,0.0,Cash
ORD-1049,2023-05-01,South,Gadget X,Electronics,George,77,16676.3,0.05,Cash
ORD-1123,2023-05-02,East,Desk Lamp,Home,Bob,-1,-96.84,0.0,PayPal
ORD-1119,2023-05-04,North,Laptop Pro,Electronics,Diana,30,595.69,0.15,Wire Transfer
ORD-1175,2023-05-06,Central,Wireless Charger,Accessories,Evan,67,4749.21,0.0,Wire Transfer
ORD-1086,2023-05-08,West,Bluetooth Earbuds,Accessories,Alice,33,4626.92,0.0,Credit Card
ORD-1027,2023-05-09,South,Smart Bulb,Home,Diana,8,90.6,0.0,Wire Transfer
ORD-1181,2023-05-14,North,Widget B,Electronics,Alice,58,749.19,0.0,PayPal
ORD-1045,2023-05-14,North,Ergo Mouse,Office,Charlie,28,5680.68,0.0,PayPal
ORD-1012,2023-05-15,Central,Laptop Pro,Electronics,Evan,21,2480.52,0.05,Wire Transfer
ORD-1028,2023-05-19,Central,Laptop Pro,Electronics,Evan,81,14638.49,0.0,Wire Transfer
ORD-1167,2023-05-21,South,Phone Case,Accessories,Fiona,40,1098.52,0.0,Credit Card
ORD-1072,2023-05-24,East,Widget B,Electronics,Evan,90,22114.84,0.0,PayPal
ORD-1076,2023-05-27,East,Widget B,Electronics,Hannah,48,10233.54,0.26,Cash
ORD-1067,2023-05-27,South,Desk Mat,Office,Alice,20,3296.83,0.0,PayPal
ORD-1134,2023-05-27,North,Smart Bulb,Home,George,58,7554.48,0.0,PayPal
ORD-1066,2023-05-28,East,Wireless Charger,Accessories,Charlie,59,3708.61,0.23,Credit Card
ORD-1177,2023-05-28,Central,Desk Mat,Office,Alice,-8,-293.94,0.0,Cash
ORD-1183,2023-05-29,South,Mechanical Keyboard,Office,Fiona,80,10931.86,0.0,Wire Transfer
ORD-1161,2023-05-31,East,Smart Bulb,Home,Evan,16,3192.13,0.0,PayPal
ORD-1137,2023-06-01,South,Phone Case,Accessories,Charlie,12,1237.93,0.21,Credit Card
ORD-1190,2023-06-05,North,Cable Pack,Accessories,Charlie,8,405.79,0.0,Credit Card
ORD-1182,2023-06-09,West,Laptop Pro,Electronics,Charlie,45,916.13,0.0,Cash
ORD-1098,2023-06-10,West,Desk Lamp,Home,Bob,67,26430.15,0.0,PayPal
ORD-1082,2023-06-12,East,Air Purifier,Home,Hannah,80,19893.58,0.0,Cash
ORD-1147,2023-06-13,West,Laptop Pro,Electronics,Diana,10,1116.33,0.19,Wire Transfer
ORD-1191,2023-06-13,West,Wireless Charger,Accessories,Alice,-8,-642.96,0.0,Credit Card
ORD-1169,2023-06-14,South,Mechanical Keyboard,Office,Hannah,38,64440.61,0.0,Cash
ORD-1051,2023-06-14,Central,Bluetooth Earbuds,Accessories,Diana,97,3760.47,0.0,Cash
ORD-1052,2023-06-21,South,Gadget X,Electronics,Alice,24,5671.16,0.0,PayPal
ORD-1107,2023-06-22,East,Phone Case,Accessories,,20,3319.83,0.0,PayPal
ORD-1104,2023-06-25,East,Laptop Pro,Electronics,Fiona,39,3138.02,0.0,Cash
ORD-1192,2023-06-27,West,Ergo Mouse,Office,Hannah,28,802.38,0.0,Cash
ORD-1133,2023-06-29,West,Wireless Charger,Accessories,Fiona,95,1298.94,0.0,Credit Card
ORD-1043,2023-07-06,East,Phone Case,Accessories,Charlie,-3,-134.48,0.28,Cash
ORD-1009,2023-07-07,South,Bluetooth Earbuds,Accessories,Bob,80,5269.21,0.07,PayPal
ORD-1125,2023-07-08,Central,Monitor Stand,Office,Evan,64,73775.54,0.0,Cash
ORD-1001,2023-07-08,North,Phone Case,Accessories,Alice,21,996.33,0.0,Cash
ORD-1048,2023-07-09,North,Smart Plug,Home,Evan,97,7305.24,0.21,PayPal
ORD-1022,2023-07-09,West,Air Purifier,Home,Evan,40,8507.52,0.0,Cash
ORD-1112,2023-07-09,West,Desk Mat,Office,Bob,22,3339.6,0.0,PayPal
ORD-1180,2023-07-10,North,Mechanical Keyboard,Office,Diana,25,5461.59,0.11,Cash
ORD-1097,2023-07-10,West,Phone Case,Accessories,Charlie,85,4744.59,0.0,Wire Transfer
ORD-1174,2023-07-21,West,Smart Bulb,Home,Bob,90,8033.45,0.0,Cash
